iter	Logloss	Accuracy
0	0.6773691665	0.795701605711	0.6643796903	0.798494066
2	0.6511628834	0.7995412387
3	0.6391656224	0.7993916426
4	0.6268603107	0.7998902962
5	0.6162674549	0.7996908347
6	0.6049903544	0.799541238777	0.5960342122	0.800688142
8	0.588076145	0.800688142
9	0.580211281	0.8006382767
10	0.5718528663	0.8007380074
11	0.5642850333	0.8008377381
12	0.5569874405	0.8009374688
13	0.5507091473	0.8013363917
14	0.54424489	0.8011867957
15	0.5386906162	0.8010870649
16	0.5332770575	0.8008876035
17	0.5276221973	0.8010870649
18	0.5228029427	0.8012865264
19	0.5175437669	0.8012865264
20	0.5129493316	0.8012865264221	0.5093446866	0.8014361225222	0.5055080508	0.8014859878223	0.5016496847	0.8015358532224	0.4983929876	0.8016355832525	0.4948913834	0.8015358532626	0.4917188703	0.8015358532727	0.489147579	0.8019846412828	0.4860172241	0.8021342372929	0.4835417367	0.8020843723030	0.4809975627	0.8021342373131	0.4786943621	0.802333699332	0.4760150297	0.8025331605333	0.4736908103	0.8024832951334	0.4717048583	0.8028323526335	0.4697546303	0.8029320834336	0.4680059625	0.8028323526337	0.4662224051	0.802882218
38	0.4646495877	0.8032811409
39	0.4627422271	0.8036301985440	0.4614251918	0.8038296594141	0.459503446	0.8038296599442	0.4575855142	0.8038795253443	0.4563811173	0.8040291214444	0.4551404386	0.8040291214445	0.4540531189	0.8044779096446	0.4527867798	0.8048768326447	0.4515219708	0.8049765633448	0.4504453453	0.8049765633449	0.4494870787	0.8050264286550	0.4484969265	0.8055250823551	0.4478062833	0.8057245435252	0.4468275383	0.8059738753	53	0.4460903762	0.8061234654554	0.445256024	0.8061234665555	0.4443889364	0.806173332556	0.4435675811	0.806173332557	0.4429860659	0.8061234665858	0.4421374535	0.8064226585959	0.4413753941	0.8066221206060	0.4406635641	0.8066221206161	0.4400883721	0.8064725246262	0.4394624702	0.8067717166363	0.4388701304	0.806721851664	0.4381206856	0.8068215817665	0.4375528603	0.8070210432666	0.4370381086	0.8068714471667	0.4364991683	0.80727037
68	0.4359985839	0.8073202354
69	0.4355159838	0.80727037
70	0.4349811823	0.8073701007
71	0.43446316	0.8075695622
72	0.4340342834	0.8078687544
73	0.4335956111	0.807818889
74	0.4330191562	0.8080183505
75	0.4325490763	0.8078687544
76	0.432217614	0.8077191583
77	0.4316697008	0.807818889
78	0.4312698541	0.8079186197
79	0.4306927026	0.8078687544
80	0.4302876394	0.8080183505
81	0.4299611087	0.8079684851
82	0.4294990597	0.8083175426
83	0.4292389706	0.8082676773
84	0.4288068763	0.8086666002
85	0.4284388964	0.8088660616
86	0.4281248175	0.8086167348
87	0.4278093885	0.808915927
88	0.4274852207	0.8091652538
89	0.4271030405	0.8091652538
90	0.4267619419	0.8097636382
91	0.4264295311	0.8099630996
92	0.4261022967	0.8101126957
93	0.4258045016	0.8099630996
94	0.4255285962	0.8101625611
95	0.4251511433	0.8104617533
96	0.4246659145	0.810561484
97	0.424288179	0.8108606762
98	0.4239548747	0.811110003
99	0.4235954433	0.8112595991
100	0.4232915996	0.8113593298
101	0.4229971314	0.8114590605
102	0.4227473855	0.8114091952
103	0.4224403677	0.8117582527
104	0.4221416094	0.8117083874
105	0.4219210995	0.8120075795
106	0.4215909482	0.8121073103
107	0.4213298617	0.8120574449
108	0.4210063874	0.8124065024
109	0.4207419173	0.8124065024
110	0.420348269	0.8123566371
111	0.4200576839	0.8126558293
112	0.4198018696	0.8130048868
113	0.4193249487	0.8131544829
114	0.4190537913	0.8133539444
115	0.4188989419	0.8135035404
116	0.4186972547	0.8134536751
117	0.4184819858	0.8134536751
118	0.4182169529	0.8133539444
119	0.4178038859	0.8136032712
120	0.4175953773	0.8135534058
121	0.417368096	0.8138027326
122	0.4171673721	0.8140021941
123	0.4169655751	0.8140520594
124	0.4167687197	0.8143013863
125	0.4164952913	0.8141517902
126	0.4162926067	0.8142515209
127	0.4160826377	0.8142515209
128	0.4158918563	0.8144509823
129	0.4156787061	0.8145008477
130	0.4154211569	0.8145507131
131	0.4151537395	0.8146504438
132	0.4149270591	0.8147003092
133	0.4147630139	0.8147003092
134	0.4145977685	0.8146005784
135	0.4143361402	0.8146504438
136	0.4141086375	0.8148000399
137	0.4139178373	0.8147501745
