iter	Passed	Remaining
0	105	105636
1	173	86532
2	241	80326
3	279	69596
4	316	62937
5	355	58912
6	397	56457
7	448	55610
8	501	55267
9	553	54789
10	632	56830
11	697	57415
12	754	57308
13	803	56588
14	839	55112
15	874	53799
16	920	53225
17	994	54240
18	1071	55312
19	1133	55538
20	1173	54713
21	1225	54460
22	1268	53882
23	1309	53264
24	1351	52722
25	1391	52144
26	1454	52426
27	1504	52224
28	1539	51554
29	1576	50965
30	1615	50505
31	1656	50096
32	1699	49802
33	1739	49434
34	1777	49003
35	1812	48545
36	1851	48190
37	1889	47837
38	1932	47610
39	1982	47572
40	2028	47455
41	2076	47371
42	2120	47191
43	2167	47100
44	2214	47000
45	2256	46791
46	2299	46616
47	2340	46419
48	2399	46577
49	2437	46313
50	2473	46024
51	2509	45745
52	2545	45474
53	2581	45221
54	2618	44986
55	2659	44830
56	2700	44678
57	2739	44497
58	2779	44332
59	2819	44164
60	2865	44104
61	2905	43963
62	2951	43896
63	2990	43730
64	3030	43591
65	3070	43449
66	3116	43402
67	3161	43336
68	3207	43274
69	3251	43198
70	3297	43143
71	3341	43069
72	3424	43489
73	3470	43423
74	3508	43276
75	3551	43175
76	3597	43117
77	3645	43094
78	3695	43077
79	3737	42977
80	3791	43021
81	3836	42947
82	3876	42832
83	3917	42721
84	3970	42745
85	4012	42648
86	4050	42511
87	4087	42360
88	4124	42221
89	4163	42101
90	4202	41976
91	4243	41876
92	4282	41767
93	4320	41639
94	4374	41668
95	4427	41694
96	4466	41582
97	4504	41461
98	4544	41358
99	4584	41262
100	4656	41445
101	4730	41646
102	4795	41759
103	4855	41828
104	4918	41922
105	5000	42174
106	5054	42181
107	5089	42037
108	5126	41906
109	5170	41830
110	5211	41737
111	5260	41708
112	5302	41621
113	5345	41544
114	5418	41696
115	5465	41648
116	5504	41540
117	5540	41416
118	5577	41292
119	5614	41171
120	5651	41056
121	5688	40940
122	5729	40849
123	5770	40768
124	5811	40678
125	5848	40571
126	5885	40458
127	5924	40358
128	5972	40327
129	6008	40211
130	6045	40100
131	6081	39989
132	6116	39874
133	6151	39752
134	6188	39649
135	6225	39549
136	6261	39443
137	6296	39330
138	6330	39213
139	6367	39116
140	6447	39282
141	6519	39394
142	6568	39366
143	6606	39272
144	6644	39180
145	6683	39096
146	6727	39038
147	6776	39011
148	6825	38985
149	6872	38945
150	6913	38872
151	6957	38817
152	7012	38822
153	7054	38756
154	7092	38664
155	7138	38621
156	7176	38533
157	7214	38446
158	7251	38355
159	7293	38290
160	7335	38228
