iter	Logloss	Accuracy
0	0.6576569646	0.7973404255
1	0.6277128374	0.8003989362
2	0.6028557708	0.8008421986
3	0.5812378485	0.8006205674
4	0.5626175962	0.8020390071
5	0.5459583991	0.8027925532
6	0.5318148837	0.802393617
7	0.5205319541	0.8017730496
8	0.5100925952	0.8019060284
9	0.4998717672	0.8024379433
10	0.4912564807	0.8024822695
11	0.4848315207	0.8027925532
12	0.4787051834	0.803501773
13	0.4736477383	0.8035904255
14	0.4687057738	0.8042109929
15	0.4650594179	0.8046099291
16	0.4612988724	0.8049202128
17	0.4567252077	0.804964539
18	0.452913503	0.8059840426
19	0.4498011402	0.8063829787
20	0.4472065074	0.8069148936
21	0.4451411426	0.8069592199
22	0.4433576289	0.8074024823
23	0.4416397472	0.8071365248
24	0.4400568032	0.8078457447
25	0.4381315301	0.8085992908
26	0.4362527228	0.808820922
27	0.4345800946	0.8087322695
28	0.43309747	0.8091312057
29	0.432000387	0.8091312057
30	0.4309434736	0.8090868794
31	0.430041863	0.8101950355
32	0.4290852955	0.8105053191
33	0.4279798155	0.8105053191
34	0.4272344155	0.8105496454
35	0.4264468815	0.8109929078
36	0.4257052886	0.8117907801
37	0.424743221	0.8118794326
38	0.4240523455	0.812322695
39	0.4232947779	0.8122783688
40	0.4227352008	0.8126329787
41	0.4219927389	0.8129432624
42	0.421306083	0.8131205674
43	0.4207510289	0.8130762411
44	0.4201832121	0.813608156
45	0.4196577874	0.8138741135
46	0.4186819495	0.8144503546
47	0.4180340019	0.8142730496
48	0.4175455575	0.8145833333
49	0.4170267191	0.8153812057
50	0.4165356661	0.8150265957
51	0.4160213164	0.8156914894
52	0.4154058438	0.8158687943
53	0.4147687429	0.8164007092
54	0.4142399634	0.8165780142
55	0.4138116685	0.816356383
56	0.4133639672	0.8168439716
57	0.4128472465	0.8168439716
58	0.4122324612	0.8169769504
59	0.4117794175	0.8170212766
60	0.4113581904	0.8172429078
61	0.4110300673	0.8174202128
62	0.4106039282	0.8175088652
63	0.4098355137	0.8178191489
64	0.4094341543	0.8181737589
65	0.4091408774	0.8181737589
66	0.4086832945	0.8185283688
67	0.4082321112	0.8183510638
68	0.4078581778	0.818572695
69	0.4075509092	0.8186613475
70	0.4072322771	0.8186613475
71	0.4069337177	0.8188829787
72	0.4064544209	0.8189716312
73	0.4060988448	0.8191489362
74	0.4057481016	0.8191932624
75	0.4054058288	0.8195478723
76	0.4050597881	0.8192375887
77	0.4046417324	0.8195921986
78	0.4042325457	0.8201241135
79	0.4039072977	0.8200797872
80	0.4036157481	0.820212766
81	0.4030905835	0.820212766
82	0.4027645938	0.8201684397
83	0.4022838232	0.8203900709
84	0.4019468787	0.8206117021
85	0.4016757658	0.8204343972
86	0.4013954661	0.8206560284
87	0.401119646	0.8210992908
88	0.4008375452	0.8212322695
89	0.4004842438	0.8212765957
90	0.4001594397	0.8216312057
91	0.3998903849	0.8218971631
92	0.3995753121	0.8222960993
93	0.3992863601	0.8223404255
94	0.3989581883	0.8227836879
95	0.3986689627	0.8226507092
96	0.3983722963	0.8228723404
97	0.3980821097	0.8230496454
98	0.3977233146	0.8229609929
99	0.3974163681	0.8230496454
100	0.3970402724	0.8234929078
101	0.3967364632	0.8238031915
102	0.3965124838	0.8238031915
103	0.3962043823	0.8239804965
104	0.3959435092	0.8242464539
105	0.3957033442	0.8241134752
106	0.3954257176	0.8242021277
107	0.395213076	0.8242021277
108	0.3949787215	0.8243794326
109	0.3947418875	0.8246010638
110	0.3944614955	0.8244680851
111	0.3941484265	0.8246453901
112	0.3939133022	0.8249113475
113	0.3935205036	0.8251329787
114	0.3933102873	0.8254875887
115	0.3930419186	0.8256648936
116	0.3927597587	0.8255762411
117	0.3925166354	0.8256648936
118	0.3922617412	0.8255319149
119	0.3920001416	0.8256648936
120	0.3917758993	0.8257092199
121	0.391532493	0.826108156
122	0.3912963068	0.8262411348
123	0.3909950025	0.8262411348
124	0.3907894902	0.8265070922
125	0.390508933	0.826285461
126	0.3901699388	0.8262411348
127	0.3898443133	0.8265514184
128	0.3895150831	0.8265514184
129	0.3892310533	0.8264184397
130	0.3889469937	0.8268173759
131	0.3887047523	0.8268617021
132	0.3884670929	0.8269503546
133	0.3881995459	0.8269503546
134	0.3879285154	0.8276152482
135	0.3876887599	0.8277039007
136	0.3874073467	0.8276152482
137	0.3870902331	0.8278368794
138	0.386840006	0.8281471631
139	0.3865769278	0.8281028369
140	0.3863155427	0.8281914894
141	0.3859847035	0.8283244681
142	0.3857454517	0.8285904255
143	0.3853717734	0.8286347518
144	0.385147903	0.8287234043
145	0.3848074107	0.8288120567
146	0.384471742	0.8288120567
147	0.3842018129	0.8290336879
148	0.3838417972	0.8292553191
149	0.3835824447	0.8296542553
150	0.3833383172	0.8294769504
151	0.3829176081	0.8296985816
152	0.3825983249	0.8304078014
153	0.3822348992	0.8305407801
154	0.3819058136	0.8305407801
155	0.381574187	0.8305851064
156	0.3812940705	0.8308067376
157	0.3809961489	0.8310283688
158	0.3806459476	0.8311170213
159	0.3803821345	0.83125
160	0.3800351076	0.831427305
161	0.3796980438	0.8315602837
162	0.3793271677	0.8316489362
163	0.3789202907	0.831427305
164	0.3786135597	0.8317819149
165	0.3783057382	0.8320035461
166	0.3779562415	0.8320478723
167	0.3776654492	0.8320921986
168	0.3773828743	0.8324024823
169	0.377002924	0.8323138298
170	0.3766412814	0.8328014184
171	0.3763748239	0.8328457447
172	0.3760676881	0.8328900709
173	0.3759831148	0.8329343972
174	0.3757145568	0.8332446809
175	0.3753187845	0.8334663121
176	0.3750180505	0.8337765957
177	0.3746603058	0.8338652482
178	0.374409549	0.8343528369
179	0.3739803898	0.8343085106
180	0.3736021989	0.8344858156
181	0.3735762769	0.8344414894
182	0.3732028159	0.8347960993
183	0.3727650157	0.8353280142
184	0.3724604981	0.8352393617
185	0.3720802439	0.8347960993
186	0.3717577761	0.8350177305
187	0.3714273703	0.834929078
188	0.3711588689	0.8349734043
189	0.3711352255	0.8350177305
190	0.3711063941	0.8350620567
191	0.3706699318	0.835106383
192	0.3705685811	0.8353280142
193	0.3703314091	0.8355053191
194	0.370250261	0.8355496454
195	0.369978561	0.8358156028
196	0.3698847569	0.8359042553
197	0.3695891966	0.836214539
198	0.3692343126	0.8363031915
199	0.3688519227	0.8363475177
200	0.368844803	0.836391844
201	0.3685689537	0.8367464539
202	0.368320533	0.8367464539
203	0.3680192753	0.8367464539
204	0.367816794	0.8368351064
205	0.367557174	0.8371897163
206	0.3671767267	0.8371010638
207	0.3668849104	0.8371897163
208	0.3664937816	0.8372340426
209	0.3661691958	0.8376329787
210	0.3660817959	0.837677305
211	0.3657759354	0.8381205674
212	0.3654988724	0.8382535461
213	0.3650775215	0.8382535461
214	0.3648157896	0.8382978723
215	0.3644645549	0.838608156
216	0.3643049473	0.8385638298
217	0.3639549596	0.838785461
218	0.3636886997	0.838785461
219	0.3632928346	0.838962766
220	0.3629825056	0.8392730496
221	0.3626380997	0.8395390071
222	0.362371823	0.8396276596
223	0.3620292847	0.8397606383
224	0.3617087162	0.8398049645
225	0.3613951529	0.8395833333
226	0.3610860206	0.8401595745
227	0.3607630658	0.8406471631
228	0.3603739495	0.8408687943
229	0.3599717455	0.8405585106
230	0.3596816289	0.8405585106
231	0.3594895384	0.841001773
232	0.3591169729	0.8414450355
233	0.3588265655	0.8416666667
234	0.3584921542	0.842287234
235	0.3582327835	0.8423315603
236	0.3579734959	0.8425088652
237	0.3576719211	0.8427304965
238	0.3574376575	0.8429964539
239	0.3571890556	0.8429521277
240	0.3570258775	0.8430407801
241	0.3566372588	0.8433067376
242	0.356277413	0.8434840426
243	0.3560591752	0.8435283688
244	0.3556825494	0.8436613475
245	0.3553769398	0.8440159574
246	0.3550743914	0.8443262411
247	0.35493014	0.8442375887
248	0.3546653733	0.8442819149
249	0.3543495181	0.8447695035
250	0.3540831665	0.8448138298
251	0.3538531857	0.8450797872
252	0.3535181799	0.8452570922
253	0.3532467411	0.8451241135
254	0.3529067188	0.8453457447
255	0.3526175288	0.8456117021
256	0.3522878733	0.8459219858
257	0.3519353059	0.8459219858
258	0.3516273677	0.8458333333
259	0.3512734955	0.8460106383
260	0.3509697503	0.846143617
261	0.3506920595	0.8462765957
262	0.3503510192	0.846498227
263	0.3500639756	0.8465868794
264	0.3496541221	0.8465868794
265	0.3493463193	0.8471631206
266	0.3489935895	0.8469414894
267	0.3486812969	0.8470744681
268	0.3483749995	0.8473404255
269	0.3481121155	0.847606383
