iter	Passed	Remaining
0	86	86380
1	104	52027
2	124	41534
3	145	36122
4	165	32947
5	184	30570
6	207	29397
7	221	27408
8	231	25539
9	240	23836
10	249	22414
11	258	21255
12	267	20314
13	276	19467
14	285	18764
15	296	18217
16	306	17697
17	314	17168
18	324	16761
19	335	16418
20	345	16115
21	355	15792
22	364	15489
23	379	15433
24	402	15692
25	424	15887
26	444	16008
27	457	15882
28	470	15754
29	481	15579
30	493	15424
31	505	15283
32	519	15228
33	534	15176
34	550	15185
35	575	15405
36	595	15499
37	615	15574
38	633	15598
39	648	15560
40	663	15510
41	677	15447
42	694	15446
43	714	15515
44	729	15487
45	754	15644
46	777	15771
47	789	15666
48	800	15526
49	809	15386
50	819	15251
51	830	15131
52	840	15017
53	850	14907
54	864	14861
55	886	14942
56	905	14976
57	918	14924
58	940	14999
59	959	15037
60	976	15036
61	995	15060
62	1015	15110
63	1037	15167
64	1062	15290
65	1083	15332
66	1102	15354
67	1112	15247
68	1123	15156
69	1132	15046
70	1141	14942
71	1151	14838
72	1160	14737
73	1171	14657
74	1183	14596
75	1196	14547
76	1208	14491
77	1219	14416
78	1232	14371
79	1249	14368
80	1264	14352
81	1277	14297
82	1289	14243
83	1298	14162
84	1310	14104
85	1321	14046
86	1331	13972
87	1343	13918
88	1352	13842
89	1363	13785
90	1375	13735
91	1384	13661
92	1394	13599
93	1407	13564
94	1428	13604
95	1449	13645
96	1472	13708
97	1487	13691
98	1497	13631
99	1511	13601
100	1523	13560
101	1533	13502
102	1545	13459
103	1558	13429
104	1571	13396
105	1582	13349
106	1593	13296
107	1603	13240
108	1612	13182
109	1621	13119
110	1629	13053
111	1638	12989
112	1646	12925
113	1655	12867
114	1664	12807
115	1673	12749
116	1682	12701
117	1692	12647
118	1701	12598
119	1711	12549
120	1721	12502
121	1731	12457
122	1739	12406
123	1750	12367
124	1764	12348
125	1774	12306
126	1786	12278
127	1797	12243
128	1808	12211
129	1820	12180
130	1830	12142
131	1841	12106
132	1852	12077
133	1861	12032
134	1873	12003
135	1884	11969
136	1893	11924
137	1904	11893
138	1913	11854
139	1930	11857
140	1939	11813
141	1947	11768
142	1956	11724
143	1966	11686
144	1974	11643
145	1984	11610
146	1993	11569
147	2004	11536
148	2013	11501
149	2023	11464
150	2031	11423
151	2042	11392
152	2051	11357
153	2060	11321
154	2070	11287
155	2083	11272
156	2094	11247
157	2105	11217
158	2117	11200
159	2128	11174
160	2139	11149
161	2151	11128
162	2164	11113
163	2174	11087
164	2185	11062
165	2197	11042
166	2207	11011
167	2218	10985
168	2229	10962
169	2238	10928
170	2249	10905
171	2259	10877
172	2269	10850
173	2280	10824
174	2290	10799
175	2301	10776
176	2311	10749
177	2325	10738
178	2345	10758
179	2363	10764
180	2374	10745
181	2384	10718
182	2397	10705
183	2408	10680
184	2418	10652
185	2429	10630
186	2438	10603
187	2448	10573
188	2457	10543
189	2464	10508
190	2472	10474
191	2481	10444
192	2489	10410
193	2498	10379
194	2506	10346
195	2515	10319
196	2523	10286
197	2531	10255
198	2540	10226
199	2550	10200
200	2557	10166
201	2567	10141
202	2575	10113
203	2585	10087
204	2594	10061
205	2603	10036
206	2615	10021
207	2627	10004
208	2640	9992
209	2649	9968
210	2663	9959
211	2675	9945
212	2687	9931
213	2704	9934
214	2724	9945
215	2740	9947
216	2749	9922
217	2763	9912
218	2774	9893
219	2784	9872
220	2794	9849
221	2807	9839
222	2818	9818
223	2829	9801
224	2841	9787
225	2852	9768
226	2862	9747
227	2874	9733
228	2885	9715
229	2897	9700
230	2920	9723
231	2935	9718
232	2947	9704
233	2960	9691
234	2974	9681
235	2985	9663
236	2995	9644
237	3007	9628
238	3016	9605
239	3026	9583
240	3038	9568
241	3048	9548
242	3058	9529
243	3068	9507
244	3078	9486
245	3088	9467
246	3097	9443
247	3105	9418
248	3114	9393
249	3123	9370
250	3131	9345
251	3140	9320
252	3148	9297
253	3157	9274
254	3166	9251
255	3176	9230
256	3185	9208
257	3194	9186
258	3203	9165
259	3213	9145
260	3222	9124
261	3232	9104
262	3241	9084
263	3251	9066
264	3262	9048
265	3272	9029
266	3284	9016
267	3295	9002
268	3305	8982
269	3317	8970
270	3337	8977
271	3358	8988
272	3389	9026
273	3405	9023
274	3420	9017
275	3430	8998
276	3440	8978
277	3448	8956
278	3457	8934
279	3465	8912
280	3474	8890
281	3482	8867
282	3491	8846
283	3500	8825
284	3510	8805
285	3519	8786
286	3529	8767
287	3538	8747
288	3547	8728
289	3557	8710
290	3568	8694
291	3578	8676
292	3587	8656
293	3596	8636
294	3605	8616
295	3615	8599
296	3625	8582
297	3635	8564
298	3647	8551
299	3657	8535
300	3667	8517
301	3678	8500
302	3688	8485
303	3699	8469
304	3709	8453
305	3720	8439
306	3731	8422
307	3741	8406
308	3751	8390
309	3761	8372
310	3771	8355
311	3780	8337
312	3789	8317
313	3797	8297
314	3806	8278
315	3815	8259
316	3824	8239
317	3832	8218
318	3842	8202
319	3851	8183
320	3859	8164
321	3868	8144
322	3876	8125
323	3884	8105
324	3894	8088
325	3903	8069
326	3924	8077
327	3942	8077
328	3956	8069
329	3965	8052
330	3975	8034
331	3983	8015
332	3994	8001
333	4004	7985
334	4014	7968
335	4024	7952
336	4036	7942
337	4048	7929
338	4060	7917
339	4071	7904
340	4081	7887
341	4094	7877
342	4104	7862
343	4113	7845
344	4125	7831
345	4136	7819
346	4152	7814
347	4162	7798
348	4171	7782
349	4181	7765
350	4190	7748
351	4199	7730
352	4208	7712
353	4216	7695
354	4225	7677
355	4234	7660
356	4243	7642
357	4251	7624
358	4260	7607
359	4270	7591
360	4279	7574
361	4287	7556
362	4296	7540
363	4305	7523
364	4315	7507
365	4324	7491
366	4342	7490
367	4364	7496
368	4378	7486
369	4388	7471
370	4398	7456
371	4409	7444
372	4420	7430
373	4430	7416
374	4443	7405
375	4457	7397
376	4467	7381
377	4477	7366
378	4488	7354
379	4497	7337
380	4506	7321
381	4514	7304
382	4523	7287
383	4532	7270
384	4540	7253
385	4549	7236
386	4557	7219
387	4565	7201
388	4574	7185
389	4583	7169
390	4592	7152
391	4601	7136
392	4612	7124
393	4621	7108
394	4630	7092
395	4639	7075
396	4648	7060
397	4657	7045
398	4666	7029
399	4676	7014
400	4685	6999
401	4694	6984
402	4705	6971
403	4715	6956
404	4725	6942
405	4735	6928
406	4745	6914
407	4755	6900
408	4767	6889
409	4779	6877
410	4789	6863
411	4799	6849
412	4810	6836
413	4819	6821
414	4829	6808
415	4839	6793
416	4848	6778
417	4856	6761
418	4865	6747
419	4874	6731
420	4882	6715
421	4891	6699
422	4899	6683
423	4907	6666
424	4915	6651
425	4943	6661
426	4952	6646
427	4961	6630
428	4970	6616
429	4982	6604
430	4992	6591
431	5002	6577
432	5013	6565
433	5025	6553
434	5036	6542
435	5047	6529
436	5057	6515
437	5067	6501
438	5077	6488
439	5090	6479
440	5101	6466
441	5113	6455
442	5124	6443
443	5137	6433
444	5150	6423
445	5161	6411
446	5172	6399
447	5183	6387
448	5194	6375
449	5205	6361
450	5216	6349
451	5227	6337
452	5236	6323
453	5248	6311
454	5259	6299
